postcode,suburb,year2006,year2007,year2008,year2009,year2010,year2011,year2012,year2013,year2014,year2015,year2016,year2017,year2018
3903,Swan Reach,1,0,2,3,3,3,1,2,0,5,1,0,0
3904,Metung,3,0,1,0,1,1,2,1,1,1,2,2,0
3909,Kalimna,17,17,24,19,16,23,17,8,19,15,12,20,0
3910,Langwarrin,27,34,43,36,32,27,31,25,31,25,30,24,1
3911,Langwarrin South,16,19,13,17,28,15,24,18,23,14,12,12,1
3912,Pearcedale,36,41,24,35,35,35,29,21,37,28,37,23,3
3913,Tyabb,9,8,11,8,13,14,6,9,5,3,9,2,2
3915,Hastings,31,27,38,39,23,32,22,22,18,18,21,12,2
3916,Merricks,3,4,2,1,1,1,2,2,3,4,4,1,0
3919,Crib Point,2,2,6,5,6,6,1,4,3,5,2,3,0
3922,Cowes,17,16,17,13,15,13,26,17,17,11,27,11,2
3923,Rhyll,4,6,1,4,3,1,1,4,7,3,2,1,0
3925,Cape Woolamai,5,4,6,5,10,5,8,5,7,11,4,6,1
3926,Merricks Beach,11,16,7,10,8,12,11,15,21,11,12,12,1
3927,Somers,1,0,1,1,2,0,2,0,0,2,0,1,0
3928,Main Ridge,2,3,2,5,3,3,5,3,6,3,3,3,0
3930,Mount Eliza,23,21,36,24,20,21,32,23,20,15,13,7,0
3931,Mornington,40,43,53,60,41,59,54,44,39,45,44,30,3
3933,Moorooduc,24,15,14,14,17,13,10,15,14,17,21,16,5
3934,Mount Martha,32,16,31,15,20,27,24,18,25,14,36,22,1
3936,Dromana,22,34,37,33,28,28,23,18,26,31,29,28,3
3937,Red Hill,5,6,5,14,8,9,10,6,9,8,6,9,1
3938,McCrae,5,6,7,8,6,4,4,7,5,5,7,3,1
3939,Boneo,50,56,47,44,42,38,44,34,31,39,32,25,2
3940,Capel Sound,9,17,9,6,13,6,14,5,6,18,9,7,2
3941,Rye,31,17,22,22,28,19,12,23,13,18,15,17,3
3942,Blairgowrie,2,6,2,6,2,4,5,4,1,2,2,5,0
3943,Sorrento,4,4,9,5,9,8,5,6,1,6,4,2,1
3944,Portsea,1,2,1,0,0,1,2,0,1,2,2,3,1
3945,Jeetho,6,6,9,3,8,15,3,6,10,2,3,6,1
3946,Bena,1,1,1,1,1,2,1,1,2,1,2,1,0
3950,Kardella South,15,8,15,16,17,18,7,10,8,9,15,6,2
3951,Fairbank,5,3,2,11,16,4,9,3,6,5,11,8,0
3953,Berrys Creek,21,22,19,31,27,23,15,10,23,22,32,18,2
3954,Koonwarra,3,3,4,1,2,1,4,5,2,2,3,3,0
3956,Dumbalk,8,10,3,7,7,10,9,11,8,10,8,3,1
3957,Stony Creek,2,4,0,3,5,4,2,2,3,2,1,4,0
3958,Buffalo,1,0,0,4,1,1,0,0,0,3,2,1,0
3959,Fish Creek,4,4,5,2,3,4,3,3,9,5,3,3,1
