Postcode,Count,Suburb
3821,198,Brandy Creek
3737,197,Buffalo River
3933,195,Moorooduc
3620,193,Kyabram
3197,193,Carrum
3180,192,Knoxfield
3036,191,Keilor
3461,189,Bullarto
3833,186,Icy Creek
3116,186,Chirnside Park
3809,181,Officer
3300,180,Byaduk North
3797,180,Gilderoy
3858,178,Dawson
3062,174,Somerton
3342,172,Beremboke
3579,171,Budgerum East
3111,170,Donvale
3781,168,Cockatoo
3807,168,Guys Hill
3730,166,Boosey
3831,166,Neerim
3049,166,Westmeadows
3087,165,Watsonia
3793,162,Monbulk
3824,159,Childers
3213,156,Lovely Banks
3779,155,Marysville
3701,154,Dartmouth
3816,153,Labertouche
3451,152,Campbells Creek
3241,152,Ombersley
3713,151,Eildon
3888,147,Bonang
3926,147,Merricks Beach
3950,146,Kardella South
3200,145,Frankston North
3763,143,Kinglake
3427,141,Diggers Rest
3102,141,Kew East
3498,141,Irymple
3458,140,Blackwood
3714,138,Cathkin
3523,138,Costerfield
3747,137,Murmungee
3616,135,Cooma
3373,135,Chute
3871,134,Darlimurla
3223,133,Indented Head
3034,132,#N/A
3331,131,Gheringhap
3898,130,Cassilis
3496,129,Cardross
3233,129,Cape Otway
3453,126,Harcourt
3230,126,#N/A
3608,125,Goulburn Weir
3304,124,Dartmoor
3099,122,Cottles Bridge
3960,122,Boolarong
3659,122,Tallarook
3636,121,Drumanure
3450,121,Castlemaine
3226,121,Ocean Grove
3753,121,#N/A
3940,121,Capel Sound
3232,120,Lorne
3673,119,Broken Creek
3022,119,#N/A
3847,118,Hiamdale
3722,118,Mansfield
3778,116,Narbethong
3971,116,Calrossie
3435,112,Goldie
3434,112,Cherokee
3260,110,Bookaar
3996,110,Inverloch
3787,109,Sassafras
3265,108,Boorcan
3266,108,Bullaharre
3268,107,Brucknell
3091,106,Yarrambat
3815,106,Bunyip
3490,105,Boinka
3097,105,Kangaroo Ground
3341,104,Dales Creek
3685,103,Boorhaman North
3237,103,Ferguson
3428,100,Bulla
3669,100,Creek Junction
3027,100,Williams Landing
3913,99,Tyabb
3980,98,Tooradin
3364,97,Broomfield
3240,97,Buckley
3918,97,#N/A
3159,97,Menzies Creek
3227,96,Breamlea
3812,96,Maryknoll
3937,96,Red Hill
3158,95,Upwey
3956,95,Dumbalk
3889,94,Cabbage Tree Creek
3501,94,Hattah
3505,94,Cabarita
3380,93,Stawell
3561,93,Diggora
3885,91,Bruthen
3460,89,Daylesford
3890,88,Buldah
3788,88,Olinda
3758,86,Heathcote Junction
3634,85,Bunbartha
3381,84,Fyans Creek
3234,83,Grey River
3231,83,Eastern View
3951,83,Fairbank
3094,82,Montmorency
3761,82,St Andrews
3463,82,Bradford
3115,81,Wonga Park
3090,81,Plenty
3808,81,Dewhurst
3238,80,Glenaire
3740,79,Buckland
3945,78,Jeetho
3699,78,Falls Creek
3638,77,Kotupna
3925,77,Cape Woolamai
3477,77,Carapooee
3211,75,Little River
3549,75,Happy Valley
3418,74,Broughton
3795,74,Silvan
3515,74,Marong
3842,72,Churchill
3755,71,Yan Yean
3612,70,Moora
3988,70,Mountain View
3766,70,Kalorama
3333,69,Meredith
3568,69,Burkes Bridge
3154,69,The Basin
3621,69,Kyvalley
3791,68,Kallista
3938,68,McCrae
3683,68,Chiltern
3720,68,#N/A
3517,66,Brenanah
3385,66,Dadswells Bridge
3440,66,Macedon
3785,65,Tremont
3370,65,Clunes
3610,65,Dhurringile
3235,65,Deans Marsh
3277,64,Mepunga
3312,64,Brimboal
3943,64,Sorrento
3283,64,Crossley
3665,63,Locksley
3264,63,Terang
3225,62,Point Lonsdale
3558,62,Burnewang
3363,62,Creswick
3789,61,Sherbrooke
3814,61,Cora Lynn
3675,60,Glenrowan
3707,60,Colac Colac
3357,60,Buninyong
3557,60,Fosterville
3431,60,Riddells Creek
3518,60,Fentons Creek
3269,59,Port Campbell
3813,59,Tynong
3992,58,Dalyston
3284,58,Orford
3823,58,Yarragon
3315,57,Brit Brit
3114,57,Park Orchards
3393,56,Cannum
3448,55,Elphinstone
3243,55,Murroon
3301,54,Broadwater
3478,54,Dooboobetic
3494,54,Carwarp
3239,54,Carlisle River
3462,53,Green Gully
3093,52,Lower Plenty
3282,51,Illowa
3891,50,Genoa
3096,49,Wattle Glen
3854,49,Glengarry
3272,49,Mortlake
3859,49,Maffra West Upper
3959,49,Fish Creek
3371,48,Burnbank
3715,48,Merton
3063,48,Oaklands Junction
3472,48,Dunluce
3682,47,Lilliput
3438,47,New Gisborne
3379,46,Chatsworth
3919,45,Crib Point
3893,45,Double Bridges
3786,45,Ferny Creek
3294,45,Dunkeld
3414,45,Dimboola
3597,45,Kenley
3516,45,Derby
3695,44,Charleroi
3700,44,Bullioh
3712,44,Rubicon
3822,43,Cloverlea
3751,42,Woodstock
3749,42,Yackandandah
3559,42,Burramboot
3991,42,#N/A
3688,42,Indigo Valley
3321,41,Hesse
3942,41,#N/A
3670,41,Tarnook
3928,41,Main Ridge
3285,40,Codrington
3281,40,Bushfield
3641,40,Mywee
3870,40,Grand Ridge
3527,39,Bunguluke
3480,39,Carron
3664,39,Upton Hill
3869,38,Jumbuk
3873,38,Gormandale
3430,38,Clarkefield
3441,37,Mount Macedon
3334,37,Bungal
3923,37,Rhyll
3409,36,Clear Lake
3987,36,Nyora
3311,36,Casterton
3242,36,#N/A
3767,35,Mount Dandenong
3640,35,Katunga
3896,35,Swifts Creek
3929,34,Flinders
3289,34,Gazette
3375,33,Middle Creek
3962,33,Toora
3663,33,Mangalore
3954,33,Koonwarra
3345,33,Gordon
3957,32,Stony Creek
3533,32,Myall
3318,32,Charam
3512,32,Carina
3732,32,Moyhu
3639,32,Lower Moira
3895,32,Doctors Flat
3575,32,Gladfield
3521,31,Pyalong
3719,31,Gobur
3633,31,Congupna
3882,30,Nicholson
3725,30,Chesney Vale
3759,30,Panton Hill
3361,29,Carranballac
3360,29,Happy Valley
3624,29,Girgarre
3880,29,Ocean Grange
3711,29,Buxton
3718,29,Molesworth
3637,28,Waaia
3374,28,Great Western
3447,28,Taradale
3614,28,Toolamba
3916,28,Merricks
3857,27,Cowwarr
3537,27,Canary Island
3646,27,Dookie
3384,26,Concongella
3878,26,Eagle Point
3623,26,Carag Carag
3475,25,Cochranes Creek
3314,25,Cavendish
3735,25,Whorouly
3419,25,Kaniva
3567,25,Horfield
3635,25,Kaarimba
3662,25,Puckapunyal
3649,25,Katamatite
3324,24,Lismore
3622,24,Koyuga
3446,24,Drummond North
3580,23,Koondrook
3464,23,Carisbrook
3607,23,Tabilk
3570,23,Drummartin
3279,23,Wangoom
3900,23,#N/A
3887,23,Lake Tyers
3522,23,Glenhope East
3832,23,Nayook
3236,23,Forrest
3835,23,Thorpdale
3322,23,Cressy
3792,22,The Patch
3562,22,Torrumbarry
3433,22,Monegeetta
3407,22,Englefield
3332,22,Lethbridge
3221,21,Ceres
3856,21,Toongabbie
3525,21,Charlton
3979,21,Glen Alvie
3687,21,Wahgunyah
3903,21,Swan Reach
3762,21,#N/A
3704,21,Koetong
3864,21,Fernbank
3292,20,Nelson
